año,descripción,precio,cilindros,link
2014,Toyota,Yaris,159900,4,https://soloautos.mx/usado/autos/2014-Toyota-Yaris-Sedan-Core-AT/SA-AD-88998753
2016,Chevrolet,Aveo,135000,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Aveo-LS-Paq--J-4-ptas-/SA-AD-89091799
2012,Ford,Focus,135000,4,https://soloautos.mx/usado/autos/2012-Ford-Focus-SE-AT/SA-AD-89067276
2015,Nissan,Tiida,159000,4,https://soloautos.mx/usado/autos/2015-Nissan-Tiida-Sedan-Advance-TM-AC-1-8/SA-AD-89081058
2016,Nissan,Tiida,148000,4,https://soloautos.mx/usado/autos/2016-Nissan-Tiida-Sedan-Sense-TM-AC-1-8/SA-AD-89104130
2016,Toyota,Yaris,175000,4,https://soloautos.mx/usado/autos/2016-Toyota-Yaris-Sedan-Premium-AT/SA-AD-89082504
2014,Volkswagen,Clasico,143000,4,https://soloautos.mx/usado/autos/2014-Volkswagen-Clasico-2-0-CL-Tiptronic/SA-AD-89073389
2013,Volkswagen,Passat,179000,5,https://soloautos.mx/usado/autos/2013-Volkswagen-Passat-Comfortline-Tiptronic/SA-AD-89064349
2017,Volkswagen,Polo,198000,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Polo-Tiptronic/SA-AD-89080605
2014,Chevrolet,Spark,131900,4,https://soloautos.mx/usado/autos/2014-Chevrolet-Spark-LTZ-C-TM/SA-AD-89093608
2017,Hyundai,Grand,169000,4,https://soloautos.mx/usado/autos/2017-Hyundai-Grand-i10-GLS-TA/SA-AD-89093690
2012,MINI,Mini,200000,4,https://soloautos.mx/usado/autos/2012-MINI-Mini-Cooper-Chili-AT/SA-AD-88986200
2014,Nissan,March,110000,4,https://soloautos.mx/usado/autos/2014-Nissan-March-Active-TM/SA-AD-89097204
2016,Renault,Duster,165000,4,https://soloautos.mx/usado/autos/2016-Renault-Duster-2-0-Expression-AT/SA-AD-89092992
2012,Volkswagen,Beetle,179000,5,https://soloautos.mx/usado/autos/2012-Volkswagen-Beetle-2-5-Sport-Tiptronic/SA-AD-89077529
2017,Volkswagen,Jetta,180000,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Jetta-2-0-Std-/SA-AD-89102591
2013,Chevrolet,Sonic,145000,4,https://soloautos.mx/usado/autos/2013-Chevrolet-Sonic-TA-F/SA-AD-89099490
2015,Chevrolet,Sonic,159000,4,https://soloautos.mx/usado/autos/2015-Chevrolet-Sonic-TA-E/SA-AD-89083236
2013,FIAT,500,169500,4,https://soloautos.mx/usado/autos/2013-FIAT-500-Lounge-TA/SA-AD-89068797
2013,Mazda,Mazda6,179900,6,https://soloautos.mx/usado/autos/2013-Mazda-Mazda6-s-Grand-Touring-TA/SA-AD-89104175
2015,Volkswagen,Jetta,189000,5,https://soloautos.mx/usado/autos/2015-Volkswagen-Jetta-Comfortline-Tiptronic/SA-AD-89097798
2016,Chevrolet,Aveo,139000,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Aveo-LT-B-MT/SA-AD-89099472
2015,Chevrolet,Cruze,189000,4,https://soloautos.mx/usado/autos/2015-Chevrolet-Cruze-1-4-Turbo-J-MT/SA-AD-89100108
2012,Chevrolet,Malibu,169000,6,https://soloautos.mx/usado/autos/2012-Chevrolet-Malibu-4-ptas-G/SA-AD-88959198
2015,Ford,Focus,185500,4,https://soloautos.mx/usado/autos/2015-Ford-Focus-SE-AT/SA-AD-89092995
2012,Mazda,MAZDA5,168000,4,https://soloautos.mx/usado/autos/2012-Mazda-MAZDA5-Sport-TA/SA-AD-89094150
2012,Nissan,NP300,165000,4,https://soloautos.mx/usado/autos/2012-Nissan-NP300-Doble-Cab-Tipica-Versión-Esp-TM-AC-Audio/SA-AD-89103193
2018,Nissan,Versa,199900,4,https://soloautos.mx/usado/autos/2018-Nissan-Versa-Sense-MT-AC/SA-AD-89086816
,,,175000,2,https://soloautos.mx/usado/motos/--2012-/SA-AD-89055700
2017,Dodge,Attitude,179000,3,https://soloautos.mx/usado/autos/2017-Dodge-Attitude-SXT-TA/SA-AD-89059596
2016,Hyundai,Grand,149000,4,https://soloautos.mx/usado/autos/2016-Hyundai-Grand-i10-GL-Mid-Manual-1-2L/SA-AD-89088790
2012,Volkswagen,Clasico,135000,4,https://soloautos.mx/usado/autos/2012-Volkswagen-Clasico-2-0-GL-Team-Tiptronic/SA-AD-89092259
2015,Volkswagen,Clasico,145000,4,https://soloautos.mx/usado/autos/2015-Volkswagen-Clasico-2-0-CL-Tiptronic/SA-AD-89099426
2013,Ford,EcoSport,169000,4,https://soloautos.mx/usado/autos/2013-Ford-EcoSport-SE-TM/SA-AD-89099438
2012,Ford,Focus,137000,4,https://soloautos.mx/usado/autos/2012-Ford-Focus-SE-Sport-AT-5Ptas-/SA-AD-89091684
2017,Nissan,March,145500,4,https://soloautos.mx/usado/autos/2017-Nissan-March-Advance-TM/SA-AD-89093045
2013,Nissan,Tiida,115000,4,https://soloautos.mx/usado/autos/2013-Nissan-Tiida-Sedan-Drive-TM-AC-1-6/SA-AD-89091759
2013,Peugeot,3008,195000,4,https://soloautos.mx/usado/autos/2013-Peugeot-3008-1-6-Féline-Family-Tiptronic/SA-AD-89103933
2013,Volkswagen,Gol,119000,4,https://soloautos.mx/usado/autos/2013-Volkswagen-Gol-Sedan-Trendline-AC/SA-AD-89078762
2014,Volkswagen,Passat,175000,5,https://soloautos.mx/usado/autos/2014-Volkswagen-Passat-Comfortline-Tiptronic/SA-AD-89092308
2014,Chevrolet,Aveo,109000,4,https://soloautos.mx/usado/autos/2014-Chevrolet-Aveo-M-LS-Manual,-aire-acondicionado/SA-AD-89104353
2016,Nissan,Versa,149900,4,https://soloautos.mx/usado/autos/2016-Nissan-Versa-Sense-AT-AC/SA-AD-89093051
2014,Chevrolet,Aveo,119900,4,https://soloautos.mx/usado/autos/2014-Chevrolet-Aveo-E-LTZ-Aut--Bolsas-de-aire,-ABS/SA-AD-89085937
2013,Ford,Fiesta,103000,4,https://soloautos.mx/usado/autos/2013-Ford-Fiesta-Ikon-Ford-Ikon-Trend-TM-A-A/SA-AD-89078675
2013,Honda,City,148000,4,https://soloautos.mx/usado/autos/2013-Honda-City-1-5-EX-MT/SA-AD-89069089
2012,Mazda,Mazda3,155000,4,https://soloautos.mx/usado/autos/2012-Mazda-Mazda3-Sedan-i-TA/SA-AD-89063222
2017,Nissan,Versa,177900,4,https://soloautos.mx/usado/autos/2017-Nissan-Versa-Drive-AT-AC/SA-AD-89094173
2016,Toyota,Yaris,189000,4,https://soloautos.mx/usado/autos/2016-Toyota-Yaris-Sedan-Premium-AT/SA-AD-89100105
2016,Volkswagen,up!,159000,3,https://soloautos.mx/usado/autos/2016-Volkswagen-up!-cross-up!/SA-AD-89069738
2014,Chevrolet,Spark,110000,4,https://soloautos.mx/usado/autos/2014-Chevrolet-Spark-LT-B-TM/SA-AD-89104517
2012,Dodge,Attitude,119000,4,https://soloautos.mx/usado/autos/2012-Dodge-Attitude-GL-Automático-1-6L/SA-AD-89067294
2016,Ford,Figo,165000,4,https://soloautos.mx/usado/autos/2016-Ford-Figo-TITANIUM-W-DEFROSTER/SA-AD-89092249
2013,Nissan,Sentra,169500,4,https://soloautos.mx/usado/autos/2013-Nissan-Sentra-Advance-CVT/SA-AD-89054459
2013,Volkswagen,Jetta,159000,5,https://soloautos.mx/usado/autos/2013-Volkswagen-Jetta-Sport-Base/SA-AD-89098219
2012,Chevrolet,Captiva,189500,6,https://soloautos.mx/usado/autos/2012-Chevrolet-Captiva-Sport-LT-Paq--C/SA-AD-89100572
2012,Nissan,Versa,129500,4,https://soloautos.mx/usado/autos/2012-Nissan-Versa-Sense-TA-AC/SA-AD-89097722
2016,Renault,Logan,159900,4,https://soloautos.mx/usado/autos/2016-Renault-Logan-Expression-2-B-A-AT/SA-AD-89087805
2016,Volkswagen,Gol,145000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Gol-5-Ptas--CL-A-A/SA-AD-89065332
2017,Volkswagen,Vento,199900,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Vento-Comfortline-Tiptronic/SA-AD-89068276
2014,Ford,Fiesta,139000,4,https://soloautos.mx/usado/autos/2014-Ford-Fiesta-SE-AT/SA-AD-89101393
2016,Honda,FIT,194000,4,https://soloautos.mx/usado/autos/2016-Honda-FIT-Hit/SA-AD-89089011
2016,Nissan,Versa,149900,4,https://soloautos.mx/usado/autos/2016-Nissan-Versa-Sense-AT-AC/SA-AD-89093054
2013,Volkswagen,CrossFox,149000,4,https://soloautos.mx/usado/autos/2013-Volkswagen-CrossFox-CrossFox-Base-TM/SA-AD-89066060
2014,Volkswagen,Jetta,168000,4,https://soloautos.mx/usado/autos/2014-Volkswagen-Jetta-2-0-TM/SA-AD-89049273
2016,Volkswagen,Vento,154900,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Vento-Startline-1-6-Tiptronic/SA-AD-89062505
2012,Chevrolet,Captiva,169000,4,https://soloautos.mx/usado/autos/2012-Chevrolet-Captiva-Sport-LS-Paq--A/SA-AD-89063044
2013,Jeep,Patriot,179500,4,https://soloautos.mx/usado/autos/2013-Jeep-Patriot-Sport-FWD-CVT/SA-AD-89098953
2012,Ram,Ram,179000,6,https://soloautos.mx/usado/autos/2012-Ram-Ram-1500-1500-ST-3-7-4x2-TA/SA-AD-89094272
2016,Renault,Logan,155900,4,https://soloautos.mx/usado/autos/2016-Renault-Logan-Dynamique-AT/SA-AD-89087581
2016,Volkswagen,Jetta,195000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Jetta-2-0-TM/SA-AD-89101701
2014,Mitsubishi,Lancer,160000,4,https://soloautos.mx/usado/autos/2014-Mitsubishi-Lancer-ES-CVT/SA-AD-89083011
2012,Nissan,Tiida,118000,4,https://soloautos.mx/usado/autos/2012-Nissan-Tiida-Sedan-Custom-TA-AC/SA-AD-89069600
2014,Subaru,Impreza,175000,4,https://soloautos.mx/usado/autos/2014-Subaru-Impreza-2-0-I-CVT/SA-AD-89101164
2016,Chevrolet,Aveo,142500,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Aveo-LT-B-MT/SA-AD-89092985
2012,Dodge,Journey,175000,4,https://soloautos.mx/usado/autos/2012-Dodge-Journey-SE/SA-AD-89088890
2015,Ford,Fiesta,138000,4,https://soloautos.mx/usado/autos/2015-Ford-Fiesta-S-MT/SA-AD-89043804
2012,Honda,Civic,179000,4,https://soloautos.mx/usado/autos/2012-Honda-Civic-EX-AT-4drs/SA-AD-89091089
2016,Chevrolet,Aveo,139500,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Aveo-LT-Paq--C-AT/SA-AD-89061249
2014,FIAT,500,194000,4,https://soloautos.mx/usado/autos/2014-FIAT-500-Sport-TA/SA-AD-89055198
2012,Nissan,Sentra,139000,4,https://soloautos.mx/usado/autos/2012-Nissan-Sentra-Custom-2-0-TM/SA-AD-88977615
2016,Nissan,Versa,170000,4,https://soloautos.mx/usado/autos/2016-Nissan-Versa-Sense-AT-AC/SA-AD-89099390
2012,Volkswagen,Beetle,175000,5,https://soloautos.mx/usado/autos/2012-Volkswagen-Beetle-2-5-Sport-Tiptronic/SA-AD-89091052
2012,Volkswagen,Passat,145000,5,https://soloautos.mx/usado/autos/2012-Volkswagen-Passat-Comfortline-Tiptronic/SA-AD-89081084
2013,Dodge,Avenger,149000,4,https://soloautos.mx/usado/autos/2013-Dodge-Avenger-SE-ATX/SA-AD-89082276
2012,Ford,Fiesta,109000,4,https://soloautos.mx/usado/autos/2012-Ford-Fiesta-S-MT/SA-AD-89088921
2013,Volkswagen,Beetle,149000,5,https://soloautos.mx/usado/autos/2013-Volkswagen-Beetle-2-5-Sport-TM/SA-AD-89096341
2016,Volkswagen,Jetta,199000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Jetta-2-0Tip-/SA-AD-89098383
2017,Volkswagen,Vento,179900,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Vento-Comfortline-Tiptronic/SA-AD-89094178
2013,Buick,Verano,195000,4,https://soloautos.mx/usado/autos/2013-Buick-Verano-2-0-1SC/SA-AD-88895259
2012,Honda,Civic,169000,4,https://soloautos.mx/usado/autos/2012-Honda-Civic-Si-Coupe-MT/SA-AD-89074040
2012,Nissan,Rogue,179000,4,https://soloautos.mx/usado/autos/2012-Nissan-Rogue-2-5L-Advance-2WD-CVT/SA-AD-89099443
2016,Nissan,Tiida,155000,4,https://soloautos.mx/usado/autos/2016-Nissan-Tiida-Sedan-Advance-TA-AC-1-8/SA-AD-89093048
2012,Toyota,Avanza,149500,4,https://soloautos.mx/usado/autos/2012-Toyota-Avanza-1-5-Premium-AT/SA-AD-89080155
2015,Nissan,March,142000,4,https://soloautos.mx/usado/autos/2015-Nissan-March-Advance-Navi-TM/SA-AD-89099935
2015,Nissan,Versa,149000,4,https://soloautos.mx/usado/autos/2015-Nissan-Versa-Advance-TM-AC/SA-AD-89096439
2017,Chevrolet,Aveo,154900,4,https://soloautos.mx/usado/autos/2017-Chevrolet-Aveo-LT-F-MT/SA-AD-89083866
2016,Ford,Fiesta,179000,4,https://soloautos.mx/usado/autos/2016-Ford-Fiesta-ST-MT-5-ptas/SA-AD-89093142
2013,Jeep,Patriot,199000,4,https://soloautos.mx/usado/autos/2013-Jeep-Patriot-Limited-4WD-CVT/SA-AD-89097218
2016,Nissan,Sentra,197000,4,https://soloautos.mx/usado/autos/2016-Nissan-Sentra-Sense-CVT/SA-AD-89093701
2016,Volkswagen,Vento,159900,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Vento-Startline-Tiptronic/SA-AD-88980017
2016,Dodge,Attitude,139000,3,https://soloautos.mx/usado/autos/2016-Dodge-Attitude-SE-TA/SA-AD-89087300
2012,Dodge,Journey,176000,4,https://soloautos.mx/usado/autos/2012-Dodge-Journey-SE/SA-AD-89104060
2013,Ford,Fusion,194500,4,https://soloautos.mx/usado/autos/2013-Ford-Fusion-SE-Lux-2-0-GTDi/SA-AD-89103351
2016,Mazda,Mazda2,199900,4,https://soloautos.mx/usado/autos/2016-Mazda-Mazda2-i-Touring-5-puertas-T-M/SA-AD-89069108
2013,Renault,Koleos,171000,4,https://soloautos.mx/usado/autos/2013-Renault-Koleos-2-5L-Expression-CVT/SA-AD-89099572
2013,Ford,Fiesta,90000,4,https://soloautos.mx/usado/autos/2013-Ford-Fiesta-Ikon-Ford-Ikon-Ambiente-TM-A-A/SA-AD-89103526
2015,Hyundai,Elantra,179000,4,https://soloautos.mx/usado/autos/2015-Hyundai-Elantra-GLS-Premium-TA/SA-AD-89078416
2016,Suzuki,Ciaz,184000,4,https://soloautos.mx/usado/autos/2016-Suzuki-Ciaz-1-4L-GLS-AT/SA-AD-88980393
2013,Volkswagen,Golf,179000,4,https://soloautos.mx/usado/autos/2013-Volkswagen-Golf-Turbo-TM/SA-AD-89077793
2012,Ford,Focus,150000,4,https://soloautos.mx/usado/autos/2012-Ford-Focus-SEL-AT-5Ptas-/SA-AD-89089015
2012,Dodge,Avenger,138500,4,https://soloautos.mx/usado/autos/2012-Dodge-Avenger-SE-ATX/SA-AD-1098513
2016,Nissan,Versa,177000,4,https://soloautos.mx/usado/autos/2016-Nissan-Versa-Advance-AT-AC/SA-AD-89082716
2012,Nissan,Versa,127000,4,https://soloautos.mx/usado/autos/2012-Nissan-Versa-Advance-TA-AC/SA-AD-89001806
2013,SEAT,Toledo,142000,4,https://soloautos.mx/usado/autos/2013-SEAT-Toledo-1-6L-Reference-MT/SA-AD-89102426
2015,Smart,Fortwo,150000,3,https://soloautos.mx/usado/autos/2015-Smart-Fortwo-Coupé-Passion/SA-AD-89101666
2016,Toyota,Yaris,164000,4,https://soloautos.mx/usado/autos/2016-Toyota-Yaris-1-5-R-MID-MT/SA-AD-89102666
2014,Volkswagen,Jetta,165000,5,https://soloautos.mx/usado/autos/2014-Volkswagen-Jetta-Style-TM/SA-AD-88954284
2015,Volkswagen,Jetta,179800,4,https://soloautos.mx/usado/autos/2015-Volkswagen-Jetta-2-0Tiptronic/SA-AD-89099298
2013,Chevrolet,Aveo,99900,4,https://soloautos.mx/usado/autos/2013-Chevrolet-Aveo-B-LT-Manual,-radio,-Bluetooth/SA-AD-89077641
2016,Dodge,Attitude,149500,3,https://soloautos.mx/usado/autos/2016-Dodge-Attitude-SE-TA/SA-AD-89092983
2016,Ford,Fiesta,179000,4,https://soloautos.mx/usado/autos/2016-Ford-Fiesta-SE-AT-5-ptas/SA-AD-89070810
2015,Toyota,Avanza,175000,4,https://soloautos.mx/usado/autos/2015-Toyota-Avanza-1-5-Premium-AT/SA-AD-89099009
2017,Volkswagen,Vento,178000,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Vento-Comfortline-Std-/SA-AD-89073001
2015,Honda,City,197000,4,https://soloautos.mx/usado/autos/2015-Honda-City-1-5-LX-CVT/SA-AD-89102429
2013,Suzuki,Swift,142000,4,https://soloautos.mx/usado/autos/2013-Suzuki-Swift-1-4-GLS-TM/SA-AD-89103390
2017,Volkswagen,Polo,198000,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Polo-Tiptronic/SA-AD-88976341
2017,Chevrolet,Spark,159900,4,https://soloautos.mx/usado/autos/2017-Chevrolet-Spark-LTZ-C-TM/SA-AD-89103579
2012,Dodge,Journey,199000,4,https://soloautos.mx/usado/autos/2012-Dodge-Journey-SXT -2-4L-5-pasajeros/SA-AD-89098682
2012,Ford,Escape,162000,6,https://soloautos.mx/usado/autos/2012-Ford-Escape-Limited-Sin-Sis-Nav-R17/SA-AD-89102367
2013,Ford,Focus,129000,4,https://soloautos.mx/usado/autos/2013-Ford-Focus-SE-AT/SA-AD-89098429
2017,Nissan,March,175500,4,https://soloautos.mx/usado/autos/2017-Nissan-March-SR-NAVI-TM/SA-AD-89100968
2012,Nissan,X-TRAIL,198000,4,https://soloautos.mx/usado/autos/2012-Nissan-X-TRAIL-Sense-CVT-2-5-LTS-/SA-AD-89094269
2012,Toyota,RAV4,199000,4,https://soloautos.mx/usado/autos/2012-Toyota-RAV4-Base-3rd-Row/SA-AD-89098465
2016,Chevrolet,Aveo,143000,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Aveo-LT-C-AT/SA-AD-89097748
2013,Chevrolet,Aveo,109000,4,https://soloautos.mx/usado/autos/2013-Chevrolet-Aveo-B-LT-Manual,-radio,-Bluetooth/SA-AD-89089279
2016,Chevrolet,Aveo,152000,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Aveo-LTZ-D-MT/SA-AD-89099363
2012,Ford,Fiesta,109000,4,https://soloautos.mx/usado/autos/2012-Ford-Fiesta-S-MT/SA-AD-89097368
2014,Peugeot,Partner,165000,4,https://soloautos.mx/usado/autos/2014-Peugeot-Partner-1-6-HDI-Maxi-Diesel-Nivel-1-MT/SA-AD-89090564
2015,Smart,Fortwo,178500,3,https://soloautos.mx/usado/autos/2015-Smart-Fortwo-Le-Citybeam-Coupe/SA-AD-89092831
2012,Chevrolet,Cruze,134500,4,https://soloautos.mx/usado/autos/2012-Chevrolet-Cruze-4-ptas-F/SA-AD-89074699
2013,Nissan,NP300,179000,4,https://soloautos.mx/usado/autos/2013-Nissan-NP300-Pick-Up-T-M-DH-Versión-Especial/SA-AD-89069202
2016,Peugeot,Partner,195000,4,https://soloautos.mx/usado/autos/2016-Peugeot-Partner-1-6-HDI-4p-90hp-Man-5Vel/SA-AD-89090691
2012,Toyota,Corolla,159000,4,https://soloautos.mx/usado/autos/2012-Toyota-Corolla-XRS-MT/SA-AD-89100057
2017,FIAT,Mobi,159900,4,https://soloautos.mx/usado/autos/2017-FIAT-Mobi-Way/SA-AD-89083485
2013,Mazda,Mazda3,169000,4,https://soloautos.mx/usado/autos/2013-Mazda-Mazda3-Sedan-s-TM/SA-AD-89103257
2013,Renault,Fluence,169900,4,https://soloautos.mx/usado/autos/2013-Renault-Fluence-Authentique-MT/SA-AD-89076711
2014,Ford,Fiesta,138000,4,https://soloautos.mx/usado/autos/2014-Ford-Fiesta-S-AT/SA-AD-89103038
2012,Jeep,Compass,165000,4,https://soloautos.mx/usado/autos/2012-Jeep-Compass-Sport-FWD-CVT/SA-AD-89083320
2012,Volkswagen,Beetle,179500,5,https://soloautos.mx/usado/autos/2012-Volkswagen-Beetle-2-5-Sport-Tiptronic/SA-AD-89081482
2012,Volkswagen,Gol,97000,4,https://soloautos.mx/usado/autos/2012-Volkswagen-Gol-Trendline-AC-5ptas/SA-AD-89102093
2014,Volkswagen,Vento,139000,4,https://soloautos.mx/usado/autos/2014-Volkswagen-Vento-Active-1-6-Tiptronic/SA-AD-89098478
2016,Chevrolet,Aveo,135000,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Aveo-LT-C-AT/SA-AD-89045195
2013,Dodge,i10,96500,4,https://soloautos.mx/usado/autos/2013-Dodge-i10-GLS-Safty-TM-1-1L/SA-AD-89081205
2015,Nissan,Note,149900,4,https://soloautos.mx/usado/autos/2015-Nissan-Note-1-6-Advance-TM/SA-AD-89062184
2015,SEAT,Ibiza,159000,4,https://soloautos.mx/usado/autos/2015-SEAT-Ibiza-Ibiza-Style-4-Ptas-MT/SA-AD-89098909
2012,Volkswagen,Clasico,114000,4,https://soloautos.mx/usado/autos/2012-Volkswagen-Clasico-2-0-CL-TM/SA-AD-89091078
2017,Chevrolet,Aveo,165500,4,https://soloautos.mx/usado/autos/2017-Chevrolet-Aveo-LTZ-Y-AT/SA-AD-89092988
2016,Chevrolet,Aveo,142500,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Aveo-LT-B-MT/SA-AD-89092987
2016,Ford,Fiesta,193000,4,https://soloautos.mx/usado/autos/2016-Ford-Fiesta-SE-AT-5-ptas/SA-AD-89082980
2012,Mazda,MAZDA5,159000,4,https://soloautos.mx/usado/autos/2012-Mazda-MAZDA5-Sport-TA/SA-AD-89047660
2016,SEAT,Toledo,189000,4,https://soloautos.mx/usado/autos/2016-SEAT-Toledo-Reference-Tiptronic/SA-AD-89099059
2017,Suzuki,Ciaz,199500,4,https://soloautos.mx/usado/autos/2017-Suzuki-Ciaz-GLX-TM/SA-AD-89061362
2016,Volkswagen,Gol,133000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Gol-5-Ptas--CL-A-A/SA-AD-88968967
2016,Volkswagen,Gol,110000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Gol-Sedan-CL-A-C/SA-AD-89086169
2017,Volkswagen,Saveiro,185000,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Saveiro-Startline/SA-AD-89082243
2016,Chevrolet,Spark,135000,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Spark-LT-B-TM/SA-AD-89079727
2017,Ford,Figo,169000,4,https://soloautos.mx/usado/autos/2017-Ford-Figo-ENERGY-TA-4-PTAS/SA-AD-89091415
2018,Chevrolet,Beat,187000,4,https://soloautos.mx/nuevo/autos/2018-Chevrolet-Beat-LT-B-TM/SA-AD-89073928
2016,Chevrolet,Sonic,174900,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Sonic-LT-K-HB-AT/SA-AD-89072928
2016,Dodge,Attitude,169500,3,https://soloautos.mx/usado/autos/2016-Dodge-Attitude-1-2-SXT-TM/SA-AD-88945651
2015,Ford,EcoSport,199000,4,https://soloautos.mx/usado/autos/2015-Ford-EcoSport-Trend-TA/SA-AD-89090433
2012,Ford,Edge,184200,6,https://soloautos.mx/usado/autos/2012-Ford-Edge-SEL/SA-AD-89089000
2012,Mitsubishi,Outlander,174800,4,https://soloautos.mx/usado/autos/2012-Mitsubishi-Outlander-2-4L-XLS-AT/SA-AD-89094393
2012,SEAT,Leon,158000,4,https://soloautos.mx/usado/autos/2012-SEAT-Leon-1-4-TSI-10-años-QC-MT/SA-AD-89091438
2016,Toyota,Avanza,190000,4,https://soloautos.mx/usado/autos/2016-Toyota-Avanza-1-5-Premium-MT/SA-AD-89091993
2017,Volkswagen,Jetta,189900,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Jetta-GLI-DSG/SA-AD-89086168
2016,Volkswagen,Vento,150500,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Vento-Comfortline-TDI/SA-AD-89093050
2014,Ford,Fiesta,99900,4,https://soloautos.mx/usado/autos/2014-Ford-Fiesta-Ikon-Ford-Ikon-Ambiente-TM-A-A/SA-AD-89060376
2017,Ford,Figo,155000,4,https://soloautos.mx/usado/autos/2017-Ford-Figo-ENERGY-TM-4-PTAS/SA-AD-89075610
2015,Ford,Focus,179900,4,https://soloautos.mx/usado/autos/2015-Ford-Focus-S-MT/SA-AD-89053290
2015,Nissan,Versa,162000,4,https://soloautos.mx/usado/autos/2015-Nissan-Versa-Sense-TA-AC/SA-AD-89101102
2012,Toyota,RAV4,199000,4,https://soloautos.mx/usado/autos/2012-Toyota-RAV4-Base-3rd-Row/SA-AD-89092055
2013,Ford,Escape,189000,4,https://soloautos.mx/usado/autos/2013-Ford-Escape-SE-l4-TA/SA-AD-89102108
2017,Ford,Figo,149000,4,https://soloautos.mx/usado/autos/2017-Ford-Figo-IMPULSE-TM-A-A-4-PTAS/SA-AD-89070794
2013,Buick,Verano,195000,4,https://soloautos.mx/usado/autos/2013-Buick-Verano-2-0-1SC/SA-AD-89058680
2015,Chevrolet,Aveo,145000,4,https://soloautos.mx/usado/autos/2015-Chevrolet-Aveo-E-LTZ,-Automático,-Bluetooth,-Bolsas-de/SA-AD-89101901
2015,Chevrolet,Spark,118000,4,https://soloautos.mx/usado/autos/2015-Chevrolet-Spark-LT-B-TM/SA-AD-89067291
2016,Ford,Figo,174000,4,https://soloautos.mx/usado/autos/2016-Ford-Figo-TITANIUM-W-DEFROSTER/SA-AD-89001423
2013,Mazda,Mazda3,179000,4,https://soloautos.mx/usado/autos/2013-Mazda-Mazda3-Sedan-i-Touring-TA/SA-AD-89092924
2012,Nissan,Tsuru,99500,4,https://soloautos.mx/usado/autos/2012-Nissan-Tsuru-GSI-TM-MILLON-Y-MEDIO/SA-AD-88961758
2012,Chevrolet,Captiva,185000,6,https://soloautos.mx/usado/autos/2012-Chevrolet-Captiva-Sport-LT-Paq--C/SA-AD-89088320
2012,Dodge,Journey,199000,6,https://soloautos.mx/usado/autos/2012-Dodge-Journey-R-T/SA-AD-89098485
2013,FIAT,Strada,145900,4,https://soloautos.mx/usado/autos/2013-FIAT-Strada-Trekking-Cabina-Extendida/SA-AD-89062403
2016,FIAT,Uno,146000,4,https://soloautos.mx/usado/autos/2016-FIAT-Uno-Sporting/SA-AD-89098751
2013,Ford,Escape,198000,4,https://soloautos.mx/usado/autos/2013-Ford-Escape-S-Plus-l4-TA/SA-AD-89099002
2014,Ford,Fiesta,145000,4,https://soloautos.mx/usado/autos/2014-Ford-Fiesta-S-AT/SA-AD-89091700
2016,Ford,Fiesta,179000,4,https://soloautos.mx/usado/autos/2016-Ford-Fiesta-ST-MT-5-ptas/SA-AD-89103533
2013,Jeep,Patriot,194900,4,https://soloautos.mx/usado/autos/2013-Jeep-Patriot-Sport-FWD-CVT/SA-AD-89083487
2016,Mitsubishi,Mirage,169900,3,https://soloautos.mx/usado/autos/2016-Mitsubishi-Mirage-GLS-TM/SA-AD-89058389
2015,SEAT,Ibiza,199000,4,https://soloautos.mx/usado/autos/2015-SEAT-Ibiza-1-2T-Ibiza-FR-DSG-2-Ptas/SA-AD-88942487
2015,Chevrolet,Aveo,122000,4,https://soloautos.mx/usado/autos/2015-Chevrolet-Aveo-J-LS,-Automático-con-A-A,-con-radio/SA-AD-89096443
2016,Ford,Fiesta,175000,4,https://soloautos.mx/usado/autos/2016-Ford-Fiesta-S-MT-4-ptas/SA-AD-89103042
