ubicación,precio,tamaño,habitaciones,baños,estacionamientos,link
 El Alcázar (casa Fuerte),2600000,140,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1976525
 El Palomar Secc Balcones,4980000,650,3 ,3.0  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+palomar+secc+balcones-tlajomulco+de+zuniga-jalisco-2136506
 Las Terrazas Residencial,780000,66,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-las+terrazas+residencial-tlaquepaque-jalisco-2222304
 Paseos Del Valle,470000,73,2 ,1.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-paseos+del+valle-tlajomulco+de+zuniga-jalisco-2156323
 Toluquilla,874000,68,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-toluquilla-tlaquepaque-jalisco-2132558
 Las Terrazas Residencial,899000,74,2 ,1.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-las+terrazas+residencial-tlaquepaque-jalisco-2100203
 Las Terrazas Residencial,1050000,107,2 ,1.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-las+terrazas+residencial-tlaquepaque-jalisco-2066008
 Toluquilla,987000,70,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-toluquilla-tlaquepaque-jalisco-2080288
 El Alcázar (casa Fuerte),2700000,90,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-2045463
 Hacienda Santa Fe,375280,80,2 ,1.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-hacienda+santa+fe-tlajomulco+de+zuniga-jalisco-1954245
 Real Del Valle,700000,68,3 ,3.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-1937331
 El Palomar Secc Balcones,5600000,650,4 ,3.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+palomar+secc+balcones-tlajomulco+de+zuniga-jalisco-1924941
 Bosques De Santa Anita,4250000,252,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-1916621
 Real Del Valle,670000,66,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-1860503
 Real Del Valle,670000,66,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-1877463
 Las Terrazas Residencial,775000,66,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-las+terrazas+residencial-tlaquepaque-jalisco-1823258
 Las Terrazas Residencial,715000,66,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-las+terrazas+residencial-tlaquepaque-jalisco-1823253
 Senderos De Monte Verde,2390000,138,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-1945606
 Concepción Del Valle,1500000,86,3 ,2.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-concepcion+del+valle-tlajomulco+de+zuniga-jalisco-1721054
 Colinas Del Roble,386000,90,1 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-colinas+del+roble-tlajomulco+de+zuniga-jalisco-1828403
 Cajititlan,5500000,657,3 ,3.0  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-cajititlan-tlajomulco+de+zuniga-jalisco-1853388
 Bugambilias,11150000,360,4 ,5.5  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bugambilias-zapopan-jalisco-1168336
 Club De Golf Santa Anita,9500000,1057,3 ,4.5  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-club+de+golf+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1538455
 Punto Sur,3650000,130,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-punto+sur-tlajomulco+de+zuniga-jalisco-45645-2061206
 Bugambilias,4950000,299,3 ,2.5  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bugambilias-zapopan-jalisco-2124249
 El Palomar Secc Balcones,14000000,,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+palomar+secc+balcones-tlajomulco+de+zuniga-jalisco-2074415
 La Rioja,6200000,280,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-2227057
 La Guadalupana,3800000,240,4 ,3.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+guadalupana-tlaquepaque-jalisco-2227036
 La Rioja,5500000,248,4 ,3.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-2179702
 Santa Anita,1190000,72,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-santa+anita-tlajomulco+de+zuniga-jalisco-2050020
 El Alcázar (casa Fuerte),2700000,170,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1945516
 Bosques De Santa Anita,1700000,105,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-1924846
 Hacienda Del Real,990000,90,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-hacienda+del+real-tonala-jalisco-1687110
 San Martin Del Tajo,4500000,251,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+martin+del+tajo-tlajomulco+de+zuniga-jalisco-1687130
 Banus,1120000,129,3 ,3.0  , 5.0  ,http://www.casasyterrenos.com/detalle-casa/venta-banus-tlajomulco+de+zuniga-jalisco-1687098
 Antares I,2129000,138,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-antares+i-tlaquepaque-jalisco-46500-1689338
 Los Gavilanes,3035000,136,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-los+gavilanes-tlajomulco+de+zuniga-jalisco-45640-1450796
 Geo Villas Los Olivos Ii,740000,53,2 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-geo+villas+los+olivos+ii-tlaquepaque-jalisco-45610-1705606
 Pedregal Del Bosque,1050000,90,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-pedregal+del+bosque-tlaquepaque-jalisco-2065931
 Fraccionamiento El Origen,2395000,108,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+el+origen-tlajomulco+de+zuniga-jalisco-2075717
 Casa Fuerte,2800000,140,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-casa+fuerte-tlajomulco+de+zuniga-jalisco-45645-2157338
 Senderos De Monte Verde,3190000,200,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-45640-2016427
 Senderos De Monte Verde,3190000,200,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-45640-2080211
 La Micailita,1000000,96,3 ,2.5  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+micailita-tlaquepaque-jalisco-45595-1956229
 Altus Bosques,890000,90,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-altus+bosques-tlajomulco+de+zuniga-jalisco-45654-2159284
 Hacienda Santa Fe,499000,80,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-hacienda+santa+fe-tlajomulco+de+zuniga-jalisco-45640-2241526
 Bosques De Santa Anita,1560000,126,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-2054143
 El Origen,2150000,105,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+origen-tlajomulco+de+zuniga-jalisco-20715-2215710
 Balcones De Santa Anita,345000,74,3 ,1.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-balcones+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-2059624
 Naturezza,1735000,123,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-naturezza-tlajomulco+de+zuniga-jalisco-45645-2219728
 Cortijo San Agustin,2950000,270,3 ,2.5  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-cortijo+san+agustin-tlajomulco+de+zuniga-jalisco-45640-2219777
 Fraccionamiento Sendero Las Moras,3618000,185,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+sendero+las+moras-tlajomulco+de+zuniga-jalisco-2224089
 Sendero De Las Moras,3500000,160,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-sendero+de+las+moras-tlajomulco+de+zuniga-jalisco-45640-2241491
 La Rioja,4300000,253,3 ,3.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2241498
 Villa California,2400000,96,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+california-tlajomulco+de+zuniga-jalisco-45640-1525968
 Fraccionamiento El Origen,2100000,121,3 ,2.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+el+origen-tlajomulco+de+zuniga-jalisco-2226028
 Senderos De Monte Verde,2100000,145,3 ,3.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-1742559
 Senderos De Monte Verde,2100000,145,3 ,3.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-1742554
 Senderos De Monte Verde,2100000,140,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-1686798
 La Loma,2150000,120,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+loma-tlajomulco+de+zuniga-jalisco-2172534
 Cortijo De San Agustin,1500000,82,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-cortijo+de+san+agustin-tlajomulco+de+zuniga-jalisco-2160733
 Santa Cruz Del Valle,990000,80,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-santa+cruz+del+valle-tlaquepaque-jalisco-1896898
 Fraccionamiento Bugambilias,5380000,361,4 ,3.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+bugambilias-zapopan-jalisco-1693550
 El Palomar,5380000,300,3 ,4.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-el+palomar-tlajomulco+de+zuniga-jalisco-1693546
 Nicolás R Casillas,1750000,103,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-nicolas+r+casillas-tlajomulco+de+zuniga-jalisco-1693478
 Real Del Valle,950000,99,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-2195382
 Las Terrazas Residencial,1050000,82,2 ,0, 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-las+terrazas+residencial-tlaquepaque-jalisco-2166767
 El Palomar,4450000,360,3 ,4.5  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+palomar-tlajomulco+de+zuniga-jalisco-45640-1138528
 Lago Nogal,7200000,650,3 ,5.0  , 5.0  ,http://www.casasyterrenos.com/detalle-casa/venta-lago+nogal-tlajomulco+de+zuniga-jalisco-45640-1685134
 San Jose Del Tajo,5490000,267,5 ,4.5  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+jose+del+tajo-tlajomulco+de+zuniga-jalisco-45645-2241232
 El Cielo Country Club,1700000,900,6 ,6.5  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+cielo+country+club-tlajomulco+de+zuniga-jalisco-45640-2241148
 Fraccionamiento Bugambilias,4550000,459,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+bugambilias-zapopan-jalisco-2085265
 Valle Verde,510000,65,3 ,0,0,http://www.casasyterrenos.com/detalle-casa/venta-valle+verde-tlaquepaque-jalisco-2204797
 El Alcázar (casa Fuerte),3450000,300,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+%28casa+fuerte%29-tlajomulco+de+zuniga-jalisco-2241099
 Club De Golf Santa Anita,235000,416,3 ,3.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-club+de+golf+santa+anita-tlajomulco+de+zuniga-jalisco-1939511
 Acueducto San Agustin,2095000,180,4 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-acueducto+san+agustin-tlajomulco+de+zuniga-jalisco-1892393
 El Manantial,4750000,250,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+manantial-tlajomulco+de+zuniga-jalisco-2231572
 Del Pilar Residencial,5900000,231,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-del+pilar+residencial-tlajomulco+de+zuniga-jalisco-2123101
 Arboleda Bosques De Santa Anita,1860000,90,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-arboleda+bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-2103395
 Bosques De Santa Anita,1730000,90,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-2085160
 Nueva Galicia Residencial,2800000,119,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-nueva+galicia+residencial-tlajomulco+de+zuniga-jalisco-2073456
 Las Terrazas Residencial,950000,70,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-las+terrazas+residencial-tlaquepaque-jalisco-2019549
 Arroyo Seco,1350000,80,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-arroyo+seco-tlaquepaque-jalisco-1896728
 San Jose Del Castillo,3700000,780,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+jose+del+castillo-el+salto-jalisco-1891208
 Villa Fontana,780000,96,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+fontana-tlaquepaque-jalisco-1872943
 Fraccionamiento Bugambilias,8790000,547,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+bugambilias-zapopan-jalisco-1787818
 Club De Golf Santa Anita,14500000,699,4 ,4.5  , 8.0  ,http://www.casasyterrenos.com/detalle-casa/venta-club+de+golf+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1976945
 El Alcázar (casa Fuerte),2530000,140,0,0,0,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1978405
 Residencial Provenza (la Romana),8000000,550,4 ,4.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-residencial+provenza+(la+romana)-tlajomulco+de+zuniga-jalisco-1784908
 La Rioja,3700000,166,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-1637687
 San Sebastian El Grande,16800000,19800,5 ,4.0  , 7.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+sebastian+el+grande-tlajomulco+de+zuniga-jalisco-2231509
 El Manantial,6300000,280,3 ,3.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+manantial-tlajomulco+de+zuniga-jalisco-1853138
 San Miguel Cuyutlan,2400000,996,2 ,1.0  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+miguel+cuyutlan-tlajomulco+de+zuniga-jalisco-1800258
 Santa Anita,24500000,1760,4 ,4.0  , 10.0  ,http://www.casasyterrenos.com/detalle-casa/venta-santa+anita-tlaquepaque-jalisco-1863118
 El Alcázar (casa Fuerte),2550000,140,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-2220757
 Real Del Valle,950000,100,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-2069165
 Senderos De Monte Verde,2450000,168,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-2117494
 Jardines Del Edén,1150000,72,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-jardines+del+eden-tlajomulco+de+zuniga-jalisco-1939396
 Jardines Del Edén,1450000,90,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-jardines+del+eden-tlajomulco+de+zuniga-jalisco-1939391
 Jardines Del Edén,1450000,90,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-jardines+del+eden-tlajomulco+de+zuniga-jalisco-1939386
 Del Pilar Residencial,3800000,160,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-del+pilar+residencial-tlajomulco+de+zuniga-jalisco-1937086
 Real Del Bosque,2980000,142,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-real+del+bosque-tlajomulco+de+zuniga-jalisco-1784773
 Arboleda Bosques De Santa Anita,3620000,220,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-arboleda+bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-2127098
 Bosques De Santa Anita,3650000,220,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-2103297
 Del Pilar Residencial,2700000,144,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-del+pilar+residencial-tlajomulco+de+zuniga-jalisco-1442536
 Rincon De Los Copales,3800000,2240,3 ,2.0  , 8.0  ,http://www.casasyterrenos.com/detalle-casa/venta-rincon+de+los+copales-tlajomulco+de+zuniga-jalisco-45640-1292529
 Rincon De Los Copales,3800000,2240,3 ,2.0  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-rincon+de+los+copales-tlajomulco+de+zuniga-jalisco-45640-1292574
 San Agustin Poniente,3800000,2240,3 ,2.0  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+agustin+poniente-tlajomulco+de+zuniga-jalisco-1301282
 Bugambilias,6170000,403,4 ,5.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bugambilias-zapopan-jalisco-1525978
 Casa Fuerte,2390000,215,3 ,2.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-casa+fuerte-tlajomulco+de+zuniga-jalisco-45645-1684326
 Casa Fuerte,2480000,140,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-casa+fuerte-tlajomulco+de+zuniga-jalisco-45645-1761654
 Ciudad Bugambilias,7400000,403,4 ,4.5  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-ciudad+bugambilias-zapopan-jalisco-45237-1746374
 El Alcázar (casa Fuerte),2390000,184,3 ,2.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+%28casa+fuerte%29-tlajomulco+de+zuniga-jalisco-1775143
 El Alcázar (casa Fuerte),2380000,140,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+%28casa+fuerte%29-tlajomulco+de+zuniga-jalisco-1922376
 El Alcázar (casa Fuerte),2940000,160,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+%28casa+fuerte%29-tlajomulco+de+zuniga-jalisco-1931936
 San Agustin,1950000,102,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+agustin-tlajomulco+de+zuniga-jalisco-45640-1931941
 Nueva Galicia,2750000,119,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-nueva+galicia-tlajomulco+de+zuniga-jalisco-45640-1953597
 San Agustin,2350000,120,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+agustin-tlajomulco+de+zuniga-jalisco-45640-1957081
 San Agustin,1950000,102,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+agustin-tlajomulco+de+zuniga-jalisco-45640-1966069
 Casa Fuerte,2625000,140,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-casa+fuerte-tlajomulco+de+zuniga-jalisco-45645-1966153
 Bugambilias,7400000,450,4 ,4.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bugambilias-zapopan-jalisco-2146600
 Del Pilar Residencial,3800000,160,4 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-del+pilar+residencial-tlajomulco+de+zuniga-jalisco-45640-2177434
 Hacienda San Agustin,2120000,120,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-hacienda+san+agustin-tlajomulco+de+zuniga-jalisco-45645-2180192
 San Agustin,2120000,120,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+agustin-tlajomulco+de+zuniga-jalisco-45640-2185372
 El Alcázar (casa Fuerte),2490000,144,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+%28casa+fuerte%29-tlajomulco+de+zuniga-jalisco-2223515
 El Alcázar (casa Fuerte),2690000,144,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+%28casa+fuerte%29-tlajomulco+de+zuniga-jalisco-2223536
 El Alcázar (casa Fuerte),2300000,146,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+%28casa+fuerte%29-tlajomulco+de+zuniga-jalisco-2223557
 Rancho Alegre,750000,68,4 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-rancho+alegre-tlajomulco+de+zuniga-jalisco-2204069
 El Alcázar (casa Fuerte),3799000,216,3 ,2.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1953709
 Altus Bosques,859999,90,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-altus+bosques-tlajomulco+de+zuniga-jalisco-1916006
 Villa Fontana,699900,93,3 ,2.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+fontana-tlaquepaque-jalisco-1904143
 Villa Fontana,599900,60,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+fontana-tlaquepaque-jalisco-1904138
 Real Del Sol,400000,83,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-real+del+sol-tlajomulco+de+zuniga-jalisco-45684-2240420
 Villa California,1850000,140,3 ,1.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+california-tlajomulco+de+zuniga-jalisco-45645-2119762
 Valle Del Sur,1790000,90,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-valle+del+sur-tlaquepaque-jalisco-45601-2240287
 Haciend Real,630000,66,2 ,1.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-haciend+real-tonala-jalisco-1524538
 Los Manzanos,2850000,152,4 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-los+manzanos-tlajomulco+de+zuniga-jalisco-45640-2075913
 Punto Sur,3675000,130,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-punto+sur-tlajomulco+de+zuniga-jalisco-45645-1899973
 Casa Fuerte,3450000,300,3 ,3.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-casa+fuerte-tlajomulco+de+zuniga-jalisco-45645-1900008
 Casa Fuerte,3450000,250,3 ,3.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-casa+fuerte-tlajomulco+de+zuniga-jalisco-45645-1900038
 Nueva Galicia,3150000,119,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-nueva+galicia-tlajomulco+de+zuniga-jalisco-45640-1943041
 Punto Sur,3680000,126,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-punto+sur-tlajomulco+de+zuniga-jalisco-45645-1982555
 Punto Sur,4290000,126,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-punto+sur-tlajomulco+de+zuniga-jalisco-45645-1982611
 Bosques De Santa Anita,5500000,235,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-2170217
 Villa Fontana,640000,80,2 ,1.5  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+fontana-tlaquepaque-jalisco-45615-2239895
 Jardines De Tlajomulco,1990000,1500,6 ,4.0  , 6.0  ,http://www.casasyterrenos.com/detalle-casa/venta-jardines+de+tlajomulco-tlajomulco+de+zuniga-jalisco-45640-1938796
 San Agustin,1900000,146,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+agustin-tlajomulco+de+zuniga-jalisco-45640-1971453
 Nueva Galicia Residencial,3500000,125,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-nueva+galicia+residencial-tlajomulco+de+zuniga-jalisco-45645-1979037
 San Agustin,570000,84,3 ,1.5  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+agustin-tlajomulco+de+zuniga-jalisco-45640-1997590
 Santa Anita Camino Real,879000,82,3 ,1.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-santa+anita+camino+real-tlaquepaque-jalisco-45640-2011002
 Bugambilias,4990000,300,4 ,5.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bugambilias-zapopan-jalisco-2026556
 Bugambilias,4900000,435,5 ,5.0  , 5.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bugambilias-zapopan-jalisco-2053842
 Bugambilias,4200000,300,3 ,3.5  , 5.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bugambilias-zapopan-jalisco-2096206
 La Rioja,5400000,248,4 ,4.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2133587
 Hacienda San Agustin,1280000,133,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-hacienda+san+agustin-tlajomulco+de+zuniga-jalisco-45645-2139740
 Valle Dorado,550000,80,2 ,1.5  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-valle+dorado-tlajomulco+de+zuniga-jalisco-45640-2239839
 San Martin Del Tajo,4550000,244,3 ,4.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-san+martin+del+tajo-tlajomulco+de+zuniga-jalisco-45640-2135316
