ubicación,precio,tamaño,precio por metro, link
 La Capilla,67200000,16800,4000.0,http://www.casasyterrenos.com/detalle-terreno/venta-la+capilla-el+salto-jalisco-45690-1262029
 La Providencia,150000,180,833.33,http://www.casasyterrenos.com/detalle-terreno/venta-la+providencia-tlajomulco+de+zuniga-jalisco-1976553
 Tierra Y Esperanza,124029600,41342,3000.09,http://www.casasyterrenos.com/detalle-terreno/venta-tierra+y+esperanza-tlajomulco+de+zuniga-jalisco-2100224
 Real Del Bosque,5309200,2042,2600.0,http://www.casasyterrenos.com/detalle-terreno/venta-real+del+bosque-tlajomulco+de+zuniga-jalisco-2066099
 La Florida,3300000,1700,1941.18,http://www.casasyterrenos.com/detalle-terreno/venta-la+florida-zapopan-jalisco-2087064
 Pueblo Santa Cruz De Las Flores,26496900,58882,450.0,http://www.casasyterrenos.com/detalle-terreno/venta-pueblo+santa+cruz+de+las+flores-tlajomulco+de+zuniga-jalisco-2024407
 El Palomar,6500000,557,11669.66,http://www.casasyterrenos.com/detalle-terreno/venta-el+palomar-tlajomulco+de+zuniga-jalisco-2005017
 Jauja,15000000,5000,3000.0,http://www.casasyterrenos.com/detalle-terreno/venta-jauja-tonala-jalisco-2145109
 Los Gavilanes,180400000,16400,11000.0,http://www.casasyterrenos.com/detalle-terreno/venta-los+gavilanes-tlajomulco+de+zuniga-jalisco-1949051
 Jardines De La Calera,14572000,4800,3035.83,http://www.casasyterrenos.com/detalle-terreno/venta-jardines+de+la+calera-tlajomulco+de+zuniga-jalisco-1846583
 Jardines De La Calera,34000000,11400,2982.46,http://www.casasyterrenos.com/detalle-terreno/venta-jardines+de+la+calera-tlajomulco+de+zuniga-jalisco-1794363
 El Zapote Del Valle,17980000,6200,2900.0,http://www.casasyterrenos.com/detalle-terreno/venta-el+zapote+del+valle-tlajomulco+de+zuniga-jalisco-2137619
 Agua Blanca Industrial,6800000,1700,4000.0,http://www.casasyterrenos.com/detalle-terreno/venta-agua+blanca+industrial-zapopan-jalisco-2137500
 La Calera,2200000,3351,656.52,http://www.casasyterrenos.com/detalle-terreno/venta-la+calera-tlajomulco+de+zuniga-jalisco-2061164
 Santa Cruz De Las Flores,5656200,10368,545.54,http://www.casasyterrenos.com/detalle-terreno/venta-santa+cruz+de+las+flores-tlajomulco+de+zuniga-jalisco-2061157
 Guadalajara (miguel Hidalgo Y Costilla),30120000,10040,3000.0,http://www.casasyterrenos.com/detalle-terreno/venta-guadalajara+(miguel+hidalgo+y+costilla)-tlajomulco+de+zuniga-jalisco-2061150
 Nicolás R Casillas,770000,140,5500.0,http://www.casasyterrenos.com/detalle-terreno/venta-nicolas+r+casillas-tlajomulco+de+zuniga-jalisco-2061003
 Real Del Valle,40250000,11500,3500.0,http://www.casasyterrenos.com/detalle-terreno/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-2060947
 Banus,600000,132,4545.45,http://www.casasyterrenos.com/detalle-terreno/venta-banus-tlajomulco+de+zuniga-jalisco-2060863
 Bugambilias,2850000,588,4846.94,http://www.casasyterrenos.com/detalle-terreno/venta-bugambilias-zapopan-jalisco-2060793
 Bosques De Santa Anita,2763000,615,4492.68,http://www.casasyterrenos.com/detalle-terreno/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-2060555
 Los Gavilanes,1598454,139,11499.67,http://www.casasyterrenos.com/detalle-terreno/venta-los+gavilanes-tlajomulco+de+zuniga-jalisco-2060373
 Club De Golf Atlas,3300000,1308,2522.94,http://www.casasyterrenos.com/detalle-terreno/venta-club+de+golf+atlas-el+salto-jalisco-2060317
 San Sebastian El Grande,25500000,15512,1643.89,http://www.casasyterrenos.com/detalle-terreno/venta-san+sebastian+el+grande-tlajomulco+de+zuniga-jalisco-2060128
 Valle De Las Heras,45254850,17747,2550.0,http://www.casasyterrenos.com/detalle-terreno/venta-valle+de+las+heras-tlaquepaque-jalisco-2055487
 Colonia San Jose El Verde Centro,24129200,60323,400.0,http://www.casasyterrenos.com/detalle-terreno/venta-colonia+san+jose+el+verde+centro-el+salto-jalisco-2041641
